ai_enabled,car_dirpath,car_id,car_make,car_model,car_name,car_name_abbreviated,car_types,car_weight,categories,created,first_sale,forum_url,free_with_subscription,has_headlights,has_multiple_dry_tire_types,has_rain_capable_tire_types,hp,price,price_display,rain_enabled,retired,search_filters,site_url
TRUE,ferrari499p,196,Ferrari,Ferrari 499P,Ferrari 499P,F499P,"prototype,road,sports",2469,sports_car,2024-10-03T08:18:33Z,2024-12-10T00:00:00Z,https://forums.iracing.com/categories/ferrari-499p/,FALSE,TRUE,FALSE,TRUE,665,11.95,$11.95 ,TRUE,FALSE,"road,sports,prototype",
TRUE,formulair04,148,FIA,F4,FIA F4,F4,"openwheel,road",1257,formula_car,2021-10-06T13:56:13Z,2022-03-08T00:00:00Z,https://forums.iracing.com/categories/iracing-formula-ir-04,FALSE,FALSE,FALSE,TRUE,160,11.95,$11.95 ,TRUE,FALSE,"road,openwheel",https://www.fia.com/events/formula-4-certified-fia/season-2020/formula-4-certified-fia
FALSE,fordfiestarswrc,81,Ford,Fiesta,Ford Fiesta RS WRC,FF-WSC,"dirt,dirtroad,irx,rallycross",3000,dirt_road,2016-10-03T14:29:52Z,2017-12-04T00:00:00Z,https://forums.iracing.com/categories/ford-fiesta-rs-wrc,FALSE,FALSE,FALSE,FALSE,600,11.95,$11.95 ,FALSE,FALSE,"dirt,dirtroad,rallycross,irx",http://www.iracing.com
TRUE,fordgt,40,Ford,GT2,Ford GT GT2,FGT,"gte,gtlm,road,sportscar",2727,sports_car,2011-06-15T14:19:30Z,2011-07-29T00:00:00Z,https://forums.iracing.com/categories/gt2,FALSE,TRUE,FALSE,FALSE,500,11.95,$11.95 ,FALSE,FALSE,"road,sportscar,gte,gtlm",http://www.ford.com/
TRUE,fordgt\gt3,59,Ford,GT3,Ford GT GT3,FGT3,"gt3,gtd,road,sportscar",2624,sports_car,2014-07-23T13:28:07Z,2014-10-20T00:00:00Z,https://forums.iracing.com/categories/gt3,FALSE,TRUE,FALSE,TRUE,475,11.95,$11.95 ,TRUE,FALSE,"road,sportscar,gtd,gt3",http://www.ford.com/
TRUE,fordgt2017,92,Ford,GT,Ford GTE,FGT7,"gte,gtlm,road,sportscar",2745,sports_car,2017-05-04T12:41:47Z,2017-06-06T00:00:00Z,https://forums.iracing.com/categories/gte,FALSE,TRUE,FALSE,FALSE,530,11.95,$11.95 ,FALSE,FALSE,"road,sportscar,gte,gtlm",http://performance.ford.com/home.html
TRUE,fr500s,30,Ford,FR500S,Ford Mustang FR500S,FR500,"mustanggt,road,sportscar",3600,sports_car,2010-04-13T09:45:25Z,2010-06-22T00:00:00Z,https://forums.iracing.com/categories/ford-mustang-fr500s,FALSE,TRUE,FALSE,TRUE,325,11.95,$11.95 ,TRUE,FALSE,"road,sportscar,mustanggt",http://www.ford.com
TRUE,fordmustanggt3,185,Ford,Ford Mustang GT3,Ford Mustang GT3,FMGT3,"gt3,road,sportscar",2900,sports_car,2024-05-06T14:26:58Z,2024-06-04T00:00:00Z,https://forums.iracing.com/categories/ford-mustang-gt3,FALSE,TRUE,TRUE,TRUE,516,11.95,$11.95 ,TRUE,FALSE,"road,sportscar,gt3",
FALSE,formularenault20,74,Renault,Formula 2.0,Formula Renault 2.0,F20,"fr2.0,openwheel,road",1115,formula_car,2016-02-03T08:17:14Z,2016-03-07T00:00:00Z,https://forums.iracing.com/categories/formula-renault-2-0,FALSE,FALSE,FALSE,FALSE,210,11.95,$11.95 ,FALSE,FALSE,"road,openwheel,fr2.0",http://www.worldseriesbyrenault.com
FALSE,formularenault35,105,Renault,Formula 3.5,Formula Renault 3.5,F35,"fr3.5,openwheel,road",1567,formula_car,2018-10-17T08:37:58Z,2018-12-03T00:00:00Z,https://forums.iracing.com/categories/formula-renault-3-5,FALSE,FALSE,FALSE,FALSE,530,11.95,$11.95 ,FALSE,FALSE,"road,openwheel,fr3.5",
TRUE,formulavee,142,Formula Vee,Formula Vee,Formula Vee,FVEE,"formulavee,openwheel,road",825,formula_car,2021-05-06T14:01:07Z,2021-06-08T00:00:00Z,https://forums.iracing.com/categories/formula-vee,TRUE,FALSE,FALSE,FALSE,69,0,$0.00 ,TRUE,FALSE,"road,formulavee,openwheel",http://www.iracing.com/
FALSE,stockcars\chevymontecarlo03,201,Chevrolet,Monte Carlo ,Gen 4 Chevrolet Monte Carlo - 2003,G4CMC,"chevy,nascar,oval",3400,oval,2025-01-16T11:22:20Z,2025-06-10T00:00:00Z,https://forums.iracing.com/categories/gen-4-stock-car/,FALSE,FALSE,FALSE,FALSE,700,11.95,$11.95 ,FALSE,FALSE,"oval,nascar,chevy",
FALSE,stockcars\fordtaurus03,202,Ford,Taurus,Gen 4 Ford Taurus - 2003,G4FT,"ford,nascar,oval",3400,oval,2025-01-16T11:40:50Z,2025-06-10T00:00:00Z,https://forums.iracing.com/categories/gen-4-stock-car/,FALSE,FALSE,FALSE,FALSE,700,11.95,$11.95 ,FALSE,FALSE,"oval,nascar,ford",
TRUE,mx5\mx52016,67,Mazda,MX-5,Global Mazda MX-5 Cup,MX16,"miata,mx5,road,sportscar",1967,sports_car,2015-05-18T13:08:08Z,2016-03-07T00:00:00Z,https://forums.iracing.com/categories/advanced-mazda-mx-5-cup,TRUE,TRUE,FALSE,TRUE,181,0,$0.00 ,TRUE,FALSE,"road,sportscar,miata,mx5",http://www.mazdamotorsports.com/
TRUE,hondacivictyper,147,Honda,Civic Type R,Honda Civic Type R TCR,HCTR,"road,sportscar,tcr",2673,sports_car,2021-09-29T09:53:45Z,2021-12-06T00:00:00Z,https://forums.iracing.com/categories/touring-car,FALSE,TRUE,FALSE,TRUE,350,11.95,$11.95 ,TRUE,FALSE,"road,sportscar,tcr",http://www.iracing.com
TRUE,hpdarx01c,39,HPD,ARX-01C,HPD ARX-01c,ARX,"lmp2,prototype,road",1819,sports_car,2011-06-15T14:16:15Z,2011-07-29T00:00:00Z,https://forums.iracing.com/categories/hpd-arx-01c,FALSE,TRUE,FALSE,FALSE,480,2.95,$2.95 ,FALSE,FALSE,"road,prototype,lmp2",http://racing.honda.com/hpd/
TRUE,hyundaielantracn7,146,Hyundai,Elantra CN7,Hyundai Elantra N TCR,HECN7,"road,sportscar,tcr",2673,sports_car,2021-09-29T09:45:03Z,2021-12-06T00:00:00Z,https://forums.iracing.com/categories/touring-car,FALSE,TRUE,FALSE,TRUE,350,11.95,$11.95 ,TRUE,FALSE,"road,sportscar,tcr",http://www.iracing.com
TRUE,hyundaivelostern,153,Hyundai,Veloster N,Hyundai Veloster N TCR,HVTC,"aienabled,road,sportscar,tcr",2789,sports_car,2022-01-07T17:36:17Z,2022-03-08T00:00:00Z,https://forums.iracing.com/categories/touring-car,FALSE,TRUE,FALSE,TRUE,350,11.95,$11.95 ,TRUE,FALSE,"road,sportscar,aienabled,tcr",
