track_id,track_name,track_type,track_type_text,track_types,ai_enabled,category,category_id,config_name,corners_per_lap,created,first_sale,folder,free_with_subscription,fully_lit,grid_stalls,has_opt_path,has_short_parade_lap,has_start_zone,is_dirt,is_oval,latitude,location,logo,longitude,max_cars,night_lighting,nominal_lap_time,number_pitstalls,opens,package_id,pit_road_speed_limit,price,price_display,rain_enabled,search_filters,site_url,sku,small_image,solo_laps,time_zone,track_config_length,track_dirpath
528,Cadwell Park Circuit,5,Road Course,[{'track_type': 'road'}],TRUE,road,2,Club,9,2024-07-19T10:18:58Z,2024-09-04T16:18:12Z,/img/tracks/cadwell,FALSE,FALSE,60,FALSE,FALSE,FALSE,FALSE,FALSE,53.310274,"Louth, Lincolnshire, England",/img/logos/tracks/cadwell-logo.png,-0.059399,60,FALSE,60.59,4,3/1/2024,494,31,14.95,$14.95 ,TRUE,road,https://www.cadwellpark.co.uk/,10588,cadwell-small.jpg,8,Europe/London,1.47,cadwell\club
530,Cadwell Park Circuit,5,Road Course,[{'track_type': 'road'}],TRUE,road,2,Woodlands,9,2024-07-19T10:24:58Z,2024-09-04T16:18:12Z,/img/tracks/cadwell,FALSE,FALSE,60,FALSE,FALSE,FALSE,FALSE,FALSE,53.310274,"Louth, Lincolnshire, England",/img/logos/tracks/cadwell-logo.png,-0.059399,60,FALSE,41.55,6,3/1/2024,494,31,14.95,$14.95 ,TRUE,road,https://www.cadwellpark.co.uk/,10588,cadwell-small.jpg,8,Europe/London,0.85,cadwell\woodlands
144,Canadian Tire Motorsports Park,5,Road Course,[{'track_type': 'road'}],TRUE,road,2,,10,2009-10-19T13:38:37Z,2009-10-26T00:00:00Z,/img/tracks/canadiantiremotorsportspark,FALSE,FALSE,62,FALSE,TRUE,FALSE,FALSE,FALSE,44.0541878,"Bowmanville, Ontario, Canada",/img/logos/tracks/canadiantiremotorsportspark-logo.png,-78.677559,67,FALSE,86.19,32,4/1/2018,90,35,14.95,$14.95 ,TRUE,"road,mosport",http://www.mosport.com,10132,canadiantiremotorsportspark-small.jpg,5,America/Toronto,2.459,mosport
387,Cedar Lake Speedway,7,Dirt Oval Course,[{'track_type': 'dirt_oval'}],FALSE,dirt_oval,3,,4,2020-11-16T15:47:14Z,2020-12-08T00:00:00Z,/img/tracks/cedarlakespeedway,FALSE,TRUE,60,FALSE,FALSE,FALSE,TRUE,TRUE,45.190514,"New Richmond, Wisconsin, USA",/img/logos/tracks/cedarlakespeedway-logo.png,-92.589252,43,TRUE,19.56,14,4/1/2020,346,30,11.95,$11.95 ,FALSE,"dirt,dirtoval",https://www.cedarlakespeedway.com/,10496,cedarlakespeedway-small.jpg,10,America/Chicago,0.375,cedarlake
143,Centripetal Circuit,1,Mile Oval,[{'track_type': 'oval'}],FALSE,oval,1,,1,2009-06-15T10:44:00Z,2009-07-28T00:00:00Z,/img/tracks/centripetalcircuit,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE,TRUE,42.596953,Parts Unknown,/img/logos/tracks/centripetalcircuit-logo.png,-83.684817,1,FALSE,19.35,1,1/1/2018,79,45,0,$0.00 ,FALSE,"oval,skid pad",http://www.iracing.com,10112,centripetalcircuit-small.jpg,10,America/Detroit,0.123,skidpad
340,Charlotte Motor Speedway,5,Road Course,[{'track_type': 'road'}],TRUE,road,2,Roval Long - 2018,18,2019-02-11T13:48:05Z,2019-03-04T00:00:00Z,/img/tracks/charlottemotorspeedway,TRUE,TRUE,60,FALSE,TRUE,FALSE,FALSE,FALSE,35.3511641,"Concord, North Carolina, USA",/img/logos/tracks/charlottemotorspeedway-logo.png,-80.6912655,60,TRUE,93.35,42,4/1/2019,268,40,0,$0.00 ,TRUE,"road,cms",http://www.charlottemotorspeedway.com/,10449,charlottemotorspeedway-small.jpg,5,America/New_York,2.42,charlotte\2018\rovallong
336,Charlotte Motor Speedway,5,Road Course,[{'track_type': 'road'}],TRUE,road,2,Legends RC Long - 2018,13,2019-02-11T13:38:31Z,2019-03-04T00:00:00Z,/img/tracks/charlottemotorspeedway,TRUE,TRUE,60,FALSE,FALSE,FALSE,FALSE,FALSE,35.3511641,"Concord, North Carolina, USA",/img/logos/tracks/charlottemotorspeedway-logo.png,-80.6912655,60,TRUE,78.86,13,4/1/2019,268,25,0,$0.00 ,TRUE,"road,cms",http://www.charlottemotorspeedway.com/,10449,charlottemotorspeedway-small.jpg,5,America/New_York,1.5,charlotte\2018\legendsrclong
330,Charlotte Motor Speedway,5,Road Course,[{'track_type': 'road'}],TRUE,road,2,Roval - 2018,12,2018-09-24T14:05:06Z,2018-12-03T00:00:00Z,/img/tracks/charlottemotorspeedway,TRUE,TRUE,60,FALSE,TRUE,FALSE,FALSE,FALSE,35.3511641,"Concord, North Carolina, USA",/img/logos/tracks/charlottemotorspeedway-logo.png,-80.6912655,60,TRUE,78.18,42,4/1/2018,268,40,0,$0.00 ,TRUE,"road,cms",https://www.charlottemotorspeedway.com/,10449,charlottemotorspeedway-small.jpg,5,America/New_York,2.28,charlotte\2018\roval
350,Charlotte Motor Speedway,5,Road Course,[{'track_type': 'road'}],TRUE,road,2,Roval,12,2019-09-12T10:20:54Z,2019-09-18T00:00:00Z,/img/tracks/charlottemotorspeedway,TRUE,TRUE,60,FALSE,TRUE,FALSE,FALSE,FALSE,35.3511641,"Concord, North Carolina, USA",/img/logos/tracks/charlottemotorspeedway-logo.png,-80.6912655,60,TRUE,85.01,42,4/1/2019,268,40,0,$0.00 ,TRUE,"road,cms",https://www.charlottemotorspeedway.com/,10449,charlottemotorspeedway-small.jpg,5,America/New_York,2.28,charlotte\2018\2019\roval
337,Charlotte Motor Speedway,5,Road Course,[{'track_type': 'road'}],TRUE,road,2,Legends RC Medium - 2018,11,2019-02-11T13:41:31Z,2019-03-04T00:00:00Z,/img/tracks/charlottemotorspeedway,TRUE,TRUE,60,FALSE,FALSE,FALSE,FALSE,FALSE,35.3511641,"Concord, North Carolina, USA",/img/logos/tracks/charlottemotorspeedway-logo.png,-80.6912655,60,TRUE,64.58,18,4/1/2019,268,25,0,$0.00 ,TRUE,"road,cms",http://www.charlottemotorspeedway.com/,10449,charlottemotorspeedway-small.jpg,5,America/New_York,1.25,charlotte\2018\legendsrcmed
338,Charlotte Motor Speedway,5,Road Course,[{'track_type': 'road'}],TRUE,road,2,Legends RC Short - 2018,7,2019-02-11T13:43:16Z,2019-03-04T00:00:00Z,/img/tracks/charlottemotorspeedway,TRUE,TRUE,60,FALSE,FALSE,FALSE,FALSE,FALSE,35.3511641,"Concord, North Carolina, USA",/img/logos/tracks/charlottemotorspeedway-logo.png,-80.6912655,60,TRUE,40.04,21,4/1/2019,268,30,0,$0.00 ,TRUE,"road,cms",http://www.charlottemotorspeedway.com/,10449,charlottemotorspeedway-small.jpg,10,America/New_York,0.72,charlotte\2018\legendsrcshort
385,Charlotte Motor Speedway,6,Dirt Road Course,[{'track_type': 'dirt_road'}],FALSE,dirt_road,4,Rallycross,7,2020-10-26T13:07:19Z,2020-12-08T00:00:00Z,/img/tracks/charlottemotorspeedway,TRUE,FALSE,16,TRUE,FALSE,FALSE,TRUE,FALSE,35.3511641,"Concord, North Carolina, USA",/img/logos/tracks/charlottemotorspeedway-logo.png,-80.6912655,16,FALSE,62,16,4/1/2020,268,,0,$0.00 ,FALSE,"dirt,dirtroad,cms",http://www.charlottemotorspeedway.com/,10449,charlottemotorspeedway-small.jpg,10,America/New_York,0.83,charlotte\2018\2019\rallycrosslong
